"No.","Time","Source","Destination","Protocol","Length","Info"
"93981","679.157087","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"93982","679.175678","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"99685","709.595491","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"99686","709.595642","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"99941","724.178982","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"99942","724.194692","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"100189","754.595776","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"100190","754.595925","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"100269","769.198212","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"100272","769.214750","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"100544","799.594076","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"100545","799.594141","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"100601","814.225230","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"100602","814.250316","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
